namecode,newname,impute,include,class,sotc08,sotc09,sotc10,sotc08_index,sotc09_index,sotc10_index
Part1-1-082,Q6R,N,N,factor,Q6R,Q6R,Q6R,93,105,134
Part1-1-083,Q6AR,N,N,factor,Q6AR,Q6AR,Q6AR,94,106,135
Part1-1-084,Q7AR,N,N,factor,Q7AR,Q7AR,Q7AR,95,107,136
Part1-1-085,Q7BR,N,N,factor,Q7BR,Q7BR,Q7BR,96,108,137
Part1-1-086,Q7CR,N,N,factor,Q7CR,Q7CR,Q7CR,97,109,138
Part1-1-087,Q7DR,N,N,factor,Q7DR,Q7DR,Q7DR,98,110,139
Part1-1-088,Q7ER,N,N,factor,Q7ER,Q7ER,Q7ER,99,111,140
Part1-1-089,Q7FR,N,N,factor,Q7FR,Q7FR,Q7FR,100,112,141
Part1-1-090,Q7GR,N,N,factor,Q7GR,Q7GR,Q7GR,101,113,142
Part1-1-091,Q7HR,N,N,factor,Q7HR,Q7HR,Q7HR,102,114,143
Part1-1-092,Q7IR,N,N,factor,Q7IR,Q7IR,Q7IR,103,115,144
Part1-1-093,Q7KR,N,N,factor,Q7KR,Q7KR,Q7KR,105,116,145
Part1-1-094,Q7LR,N,N,factor,Q7LR,Q7LR,Q7LR,106,117,146
Part1-1-095,Q7MR,N,N,factor,Q7MR,Q7MR,Q7MR,107,118,147
Part1-1-096,Q8AR,N,N,factor,Q8AR,Q8AR,Q8AR,108,119,151
Part1-1-097,Q8BR,N,N,factor,Q8BR,Q8BR,Q8BR,109,120,152
Part1-1-098,Q8CR,N,N,factor,Q8CR,Q8CR,Q8CR,110,121,153
Part1-1-099,Q8DR,N,N,factor,Q8DR,Q8DR,Q8DR,111,122,154
Part1-1-100,Q8ER,N,N,factor,Q8ER,Q8ER,Q8ER,112,123,155
Part1-1-101,Q8FR,N,N,factor,Q8FR,Q8FR,Q8FR,113,124,156
Part1-1-102,Q9R,N,N,factor,Q9R,Q9R,Q9R,114,125,158
Part1-1-103,Q13R,N,N,factor,Q13R,Q13R,Q13R,116,126,159
Part1-1-104,Q15R,N,N,factor,Q15R,Q15R,Q15R,118,127,160
Part1-1-105,Q15AAR,N,N,factor,Q15AAR,Q15AAR,Q15AAR,119,128,161
Part1-1-106,Q15ABR,N,N,factor,Q15ABR,Q15ABR,Q15ABR,120,129,162
Part1-1-107,Q18R,N,N,factor,Q18R,Q18R,Q18R,126,134,163
Part1-1-108,Q19R,N,N,factor,Q19R,Q19R,Q19R,127,135,164
