"var_name","disp_name"
"CCE","Community Attachment"
"AESTHETI","Aesthetics"
"SOCIAL_C","Social Capital"
"INVOLVEM","Civic Involvement"
"EDUCATIO","Education"
"SOCIAL_O","Social Offerings"
"OPENNESS","Openness"
"SAFETY","Safety"
"BASIC_SE","Basic Services"
"ECONOMY","Economy"
"LEADERSH","Leadership"
